JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Fri May 05 2023 23:28:50 GMT-0700 (Pacific Daylight Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B09C25VBJH","10mm 36Pcs Natural Citrine Beads for Jewelry Making Gemstone Round Loose Beads Crystal Energy Stone Healing Power DIY Bracelet Necklace","ZXYMLZI","Arts, Crafts & Sewing","$18,992.33","1,267","$11.99","$5.17","$6.82","2,118","588.9758064516129","6","1","07/13/2021","Amazon","4.6","0.75"" x 2.95"" x 4.85""","Small standard-size","0.28 lbs"
"B092YNF66R","10mm 80pcs Natural Black Lava Gemstone Round Loose Beads for Jewelry Making with Crystal Stretch Cord","QOGIR","Arts, Crafts & Sewing","$4,530.96","504","$8.99","$4.27","$4.72","4,481","730","6","1","04/19/2021","Amazon","4.6","5.00"" x 0.40"" x 7.00""","Small standard-size","0.24 lbs"
"B07WLRYBLN","10mm Blue Turquoise Beads Round Gemstone Loose Beads for Jewelry Making (37-39pcs/strand)","LIFAVOVY","Arts, Crafts & Sewing","$7,398.74","926","$6.99","$4.12","$2.87","3,483","31.357894736842105","6","1","02/25/2018","Amazon","4.448421052631579","3.94"" x 2.36"" x 0.39""","Small standard-size","0.1279 lbs"
"B0C2CJFZB1","10mm EVA Foam Roll  High Density Black Foam Sheet for Cosplay Costume  Arts and Crafts  DIY  School Projects  Party Decorations  Easy to Cut and Customize (14x39 in)","Bright Creations","Arts, Crafts & Sewing","$15,622.23","977","$11.99","$6.17","$5.82","3,638","1121.2857142857142","6","1","02/10/2020","Amazon","4.5857142857142845","4.61"" x 5.08"" x 14.09""","Large standard-size","0.679 lbs"
"B097B3MQH6","10mm Natural Agate Beads for Jewelry Making  Multicolor Stripe Agate Beads Round Loose Gemstone Energy Healing Power Stones 1 Strand 15 Inch (36-38 pcs)","Xilitata","Arts, Crafts & Sewing","$7,479.68","832","$7.99","$4.27","$3.72","4,406","1698.7640449438202","7","1","03/31/2021","Amazon","4.5179775280898875","5.91"" x 3.54"" x 0.47""","Small standard-size","0.1102 lbs"
"B08RMVCS4G","10mm Natural Blue Stripe Agate Beads for Jewelry Making Round Loose Gemstone Energy Healing Power Stones 1 Strand 15 Inch (36-38 pcs)","Xilitata","Arts, Crafts & Sewing","$1,859.34","266","$7.49","$3.97","$3.52","4,803","302.05555555555554","7","1","11/19/2020","Xilitata","4.516666666666667","0.47"" x 4.33"" x 5.63""","Small standard-size","0.1102 lbs"
"B09V7SPWYK","10mm Natural White Agate Beads for Jewelry Making Round Loose Gemstone Energy Healing Power Stones 1 Strand 15 Inch (36-38 pcs)","Xilitata","Arts, Crafts & Sewing","$4,656.82","518","$7.99","$4.27","$3.72","4,813","357.0967741935484","7","1","11/19/2020","Amazon","4.535483870967742","5.91"" x 3.54"" x 0.47""","Small standard-size","0.1102 lbs"
"B07Y8SP6G1","10mm SS46 Blue Self Adhesive Acrylic Rhinestones Plastic Face Gems Stick On Body Jewels for DIY Cards and Invitations Crafts Bling Sticker - 5 Sheets - 250PCS","Allstarco","Arts, Crafts & Sewing","$11,114.10","795","$13.98","$5.02","$8.96","4,349","525.6666666666666","6","2","10/29/2019","Amazon","4.3","0.59"" x 2.60"" x 5.04""","Small standard-size","0.0948 lbs"
"B09YT52L4P","10PACK Lean Treat Nutritional Rewards for Dogs (4 OZ)","Butler","Pet Supplies","$187,452.55","5,689","$26.07","$11.37","$14.70","1,432","7257.8","5","9","12/19/2002","Amazon","4.7","4.88"" x 8.27"" x 10.00""","Large standard-size","3.1989 lbs"
"B071JVNPJM","10pack Repair Tool Kit for iPhone 7 and Android Phone – Precision Magnetic Screwdriver Opening Pry Tools Set for iPhone 7/7 Plus/6 Plus/6S/6/5/5S/5C/5/4S/4 Plus iPod/iTouch by Feigo","FEIGO","Electronics","< $0.00","< 5","$7.99","$3.40","$4.59","407","59","7","1","06/07/2017","Amazon","4.2","0.20"" x 4.02"" x 5.32""","Small standard-size","0.2006 lbs"
"B082LTB5XR","10pc 3/4"" Round Amber Trailer LED Marker Light [3 Wire/DRL & Turn Signal] [DOT FMVSS 108] [SAE P2PC] [Semi-Spherical Output] [IP67 Waterproof] Round Marker Lights for Trailer Truck","ONLINE LED STORE","Automotive","$34,953.43","1,457","$13.50","$6.65","$6.85","4,521","932.2666666666667","6","1","06/01/2021","Amazon","4.7","4.00"" x 4.00"" x 3.00""","Large standard-size","0.46 lbs"
"B08P3PMXZT","10pcs 1 AWG-3/8"" Battery Lugs Copper Wire Lugs Heavy Duty Battery Cable Ends Tubular Ring Terminals AWG Crimp Wire Ring Lugs Battery Terminal Connectors with 3:1 Heat Shrink Tubing","TKDMR","Industrial & Scientific","$143,917.02","13,338","$9.43","$4.83","$4.60","115","5305.883720930233","7","1","11/24/2020","Amazon","4.7","0.87"" x 3.39"" x 4.17""","Large standard-size","0.3307 lbs"
"B08Q4LVPDS","10pcs 1/0 Awg - 1/2"" (M12) Sanuke Wire Lugs Ring Terminal Connectors Ends Heavy Duty for Battery Cable Lug Wire Electrical Eyelets with 3:1 Dual Wall Adhesive Heat Shrink","Sanuke","Industrial & Scientific","$80,295.62","6,278","$9.45","$5.30","$4.15","377","2975.574468085106","7","1","04/19/2021","Amazon","4.8","1.18"" x 3.70"" x 4.33""","Large standard-size","0.3968 lbs"
"B08BL133MB","10pcs 15cm Artificial Poinsettia Flowers Christmas Tree Decorations Glitter Poinsettia Bushes Xmas Poinsettia Flowers Christmas Decorations（Lake Blue）","XmasExp","Home & Kitchen","$67,762.17","6,783","$12.49","$5.04","$7.45","2,376","1156.5","6","3","08/13/2021","TRAVIA","4.15","4.53"" x 4.53"" x 4.33""","Large standard-size","0.32 lbs"
"B06XTX2CTW","10pcs 2-Phase 4-Wire Micro 8mm Stepper Motor Mini Stepping Motor with Copper Gear","Artist Unknown","Electronics","< $0.00","< 5","$6.98","$3.48","$3.50","91","10","5","1","01/09/2017","green_tree","4.3","0.71"" x 3.11"" x 3.39""","Small standard-size","0.0794 lbs"
"B01C2896LG","10pcs 2V-6V Dc Coin Vibration Motor 103.8mm Strong Vibrating Motor DIY Cell Phone Vibration DC Micro Vibrator Motor","Unknown","Electronics","N.A.","N.A.","$8.99","$0.72","$8.27","62","7","5","1","02/21/2016","fashion worlds","3.8","3.00"" x 2.00"" x 0.04""","Standard (Small)","0.01 lbs"
"B08T7PWC3F","10Pcs 304 Stainless Steel M15 Single Pulley Block  Wire Rope Hanging Wire Towing Wheel  with 10Pcs Spring Snap Hook","Cadbibe","Industrial & Scientific","$18,323.03","797","$18.49","$7.90","$10.59","4,503","282","6","1","06/15/2020","Amazon","4.5","3.27"" x 3.66"" x 5.20""","Large standard-size","1.1751 lbs"
"B0B5YBZJLR","10pcs 5 Gallon Mylar Bags for Food Storage - 10 Mil Thick - Mylar Bags 5 Gallon with Oxygen Absorbers 2500cc - Ziplock Resealable Mylar Bags - Bolsas Mylar 5 Galones","Home Sensei","Kitchen & Dining","$43,342.29","1,971","$21.99","$9.09","$12.90","4,363","1892","6","1","08/12/2022","Amazon","4.6","1.57"" x 13.46"" x 17.20""","Large standard-size","2.467 lbs"
"B094FV1BVN","10pcs 8 Awg-1/2"" Ring Marine Grade Copper Wire Lugs with 3:1 Heat Shrink Tubing UL Battery Cable Ends Heavy Duty Cable Lugs Tinned Copper Eyelets Tubular Ring Terminals","TKDMR","Industrial & Scientific","$837.90","105","$8.49","$0.96","$7.53","4,186","48.833333333333336","7","1","05/07/2021","TKDMR Store","4.75","0.83"" x 2.24"" x 3.46""","Standard (Large)","0.2006 lbs"
"B07W62RMXW","10pcs Adabele Authentic 925 Sterling Silver Italian Rectangle Lobster Trigger Clasps 10mm (0.39 Inch) Small Connector with Jump Ring Jewelry Making SS25-BB","Adabele","Arts, Crafts & Sewing","$14,500.87","899","$12.29","$5.96","$6.33","3,306","1701.5","7","2","08/08/2019","Amazon","4.4","1.18"" x 2.72"" x 3.74""","Large standard-size","0.0882 lbs"
"B00W980IO4","10PCS Audio Speaker Wall Mounted Iron Hanger Plate Black 4.8cm Long","uxcell","Electronics","N.A.","N.A.","$8.99","$4.89","$4.10","2,912","6","3","1","04/16/2015","uxcell","5","3.40"" x 3.30"" x 1.10""","Large standard-size","0.15 lbs"
"B09MF98F2P","10PCS Battery Cable Ends  2 Gauge Wire Connectors 1/2 Copper Wire Lugs  Bare Copper Eyelets with Heat Shrink Tubing by HOUSUN","HOUSUN","Industrial & Scientific","$4,807.95","1,205","$7.49","$3.40","$4.09","4,091","558.6666666666666","6","1","11/22/2021","HouSun Direct","4.795238095238095","5.00"" x 3.35"" x 0.71""","Small standard-size","0.2931 lbs"
"B096RF2HYQ","10Pcs Black Foil Heart Shaped Balloons 18 Inch Heart Mylar Balloons For Baby Shower Wedding Valentine Decorations Love Balloons Party Decorations","LHOAVWE","Toys & Games","$15,868.20","1,590","$9.98","$4.42","$5.56","3,950","350.8","6","1","07/23/2021","Amazon","4.7","0.43"" x 6.50"" x 8.66""","Small standard-size","0.2094 lbs"
"B09DD2NRPK","10PCS Cabinet Locks for Babies  Adjustable U-Shaped Child Safety Locks  Multifunctional Cabinet Handle Lock for Drawers for Cabinets  Drawer  Gate  Furniture Doors  Closet with Secure Lock Buttons","AuaitTech","Baby","$21,826.35","1,365","$9.99","$6.17","$3.82","2,140","1328","7","1","01/14/2021","Amazon","4.3","3.03"" x 8.50"" x 10.24""","Large standard-size","0.5864 lbs"
"B0BCWBQJB6","10Pcs Carbide Burrs Set 1/4"" Shank  Double Cut Die Grinder Bits  Assorted Solid Tungsten Carbide Rotary Burr Set for Wood Carving Metal Working Polishing Engraving Drilling","OA-BRES","Industrial & Scientific","$25,745.04","696","$28.49","$7.51","$20.98","4,472","286","7","2","02/17/2022","Amazon","4.6","5.91"" x 3.94"" x 0.39""","Small standard-size","0.7275 lbs"
"B09TF361T2","10PCS Class of 2023 Graduation Party Decorations 2023 Congrats Grad Honeycomb Centerpieces Congratulate Graduation Table Toppers for Graduation Party Favor Supplies(Black Gold)","Tevxj","Toys & Games","$52,367.25","3,275","$14.99","$5.47","$9.52","1,036","815.6666666666666","6","1","01/17/2022","Amazon","4.4","0.75"" x 8.23"" x 9.09""","Small standard-size","0.4409 lbs"
"B082SGS1J3","10pcs Conductor Compact Connectors Lever Wire Nut Electrical Connectors with Fixed Base for 3 Circuit Inline Splices 28-12 AWG","XHF2018","Industrial & Scientific","$7,542.56","944","$13.99","$4.50","$9.49","4,098","1381","7","1","11/05/2018","Amazon","4.6","1.10"" x 3.10"" x 4.10""","Large standard-size","0.2006 lbs"
"B0B4PKFHH7","10PCS Curtain Rods No Drilling Bracket No Drill Curtain Rod Brackets Self Adhesive Curtain Rod Holders Nail Free Adjustable Curtain Rod Hooks Curtain Hangers for Bathroom Kitchen Bathroom Hotel","Codoule","Home & Kitchen","$167,102.86","10,457","$11.99","$5.94","$6.05","860","7863.5","7","2","01/06/2022","Amazon","3.6","7.00"" x 5.00"" x 2.00""","Large standard-size","0.3 lbs"
"B01IMMOC2Y","10Pcs Dia 6mm 1.5-3V dc 2 Phase 4 Wire Micro Stepper Motor with Copper Gear Dia 1mm Output Shaft for DIY Mini Robot Or Camera","Dowonsol","Electronics","N.A.","N.A.","$7.99","$3.56","$4.43","142","1","6","1","07/16/2016","fashion worlds","1","1.69"" x 1.54"" x 0.47""","Small standard-size","0.03 lbs"
