JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Sat May 06 2023 00:05:28 GMT-0700 (Pacific Daylight Time)
ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
"B096JHD4T1","Disposable Face Masks With Designs  Individually Wrapped Masks  50PCS","AHOTOP","Industrial & Scientific","$18,281.70","1,830","$9.99","$1.20","$8.79","1,348","2","6","1","12/02/2020","AHOTOP Store","5","3.54"" x 4.13"" x 7.44""","Standard (Large)","0.5071 lbs"
"B07Y4WC9YC","DittyandVibe Womens Long Sleeve Tops V Neck Criss Cross T-Shirt","DittyandVibe","Clothing, Shoes & Jewelry","$55,450.80","2,920","$18.99","$3.23","$15.76","842","8","5","1","09/19/2019","DittyandVibe","4.15","0.40"" x 9.90"" x 12.50""","Standard (Small)","0.2491 lbs"
"B0949148SD","DLGJPA Men's Swim Trunks with Mesh Lining Pattern Beach Shorts Bathing Suits","DLGJPA","Clothing, Shoes & Jewelry","$68,620.95","4,905","$13.99","$2.38","$11.61","1,345","17.5","6","1","05/05/2021","Bo Bao","4.79","1.57"" x 7.20"" x 8.62""","Standard (Large)","0.5004 lbs"
"B09TFS34NY","Dock & Bay Beach Towel - Quick Dry  Sand Free - Compact  Lightweight - 100% Recycled - Includes Bag - Essential - Mountain Grey - Extra Large (200x90cm  78x35)","Dock & Bay","Sports & Outdoors","$254,762.19","7,281","$27.94","$10.39","$17.55","381","10.5","7","2","08/23/2020","Dock & Bay - Beach & Travel Towels","4.6125","1.57"" x 6.30"" x 11.02""","Large standard-size","1.0803 lbs"
"B09M9YGFXB","Dog Shirts Pet Shirts Dog T-Shirt Puppy Dog T Shirt Dog Vest Puppy Vest Pet Clothing Puppies Clothes for Small Dogs Doggie Summer Dress Rose-Carmine Shirt Pet Beach Wear Dog Lovers Gift(Medium)","Alroman","Pet Supplies","$61,695.90","4,410","$13.99","$5.02","$8.97","N.A.","2","6","1","01/04/2018","Alroman","4.7","8.27"" x 6.69"" x 0.04""","Small standard-size","0.05 lbs"
"B09N1NG1P7","Door Stoppers  Door Stops for Bottom of Door  Heavy Duty Door Stopper Wedge Works on All Floor Types  No Sliding Rubber Door Stops","Pick Cute","Office Products","$82,814.40","6,390","$12.96","$5.71","$7.25","659","30","6","1","06/24/2021","QuanAang Technology","4.2","4.92"" x 4.71"" x 1.00""","Large standard-size","0.4409 lbs"
"B08QRGNT3D","Doublju Lightweight Thin Zip-Up Hoodie Jacket for Women with Plus Size","Doublju","Clothing, Shoes & Jewelry","$15,654.60","540","$28.99","$4.93","$24.06","1,174","13","6","1","12/15/2020","Doublju company","4.3","2.83"" x 10.35"" x 13.78""","Standard (Large)","1.3184 lbs"
"B01E656F3K","Dreamgirl Open Crotch Panties","Dreamgirl","Clothing, Shoes & Jewelry","$78,482.70","8,730","$8.99","$4.80","$4.19","1,174","4","3","3","04/11/2016","BuyBoxer","2.7","5.30"" x 4.60"" x 0.70""","Small standard-size","0.05 lbs"
"B0090B9IP8","Dreamgirl Open for Business Boy Shorts Plus Size","Dreamgirl","Clothing, Shoes & Jewelry","$115,020.00","12,780","$10.12","$5.75","$4.37","380","22","3","3","02/29/2012","5000Styles","3.7","2.30"" x 6.20"" x 9.10""","Large standard-size","0.25 lbs"
"B010TM38B6","Dreamgirl Women's Plus Size Marabou Santa Helper Chemise and Hat","Dreamgirl","Clothing, Shoes & Jewelry","$66,577.80","2,220","$29.99","$9.32","$20.67","N.A.","3","4","1","08/03/2015","ENVY BODY SHOP","3.8","4.80"" x 4.90"" x 2.40""","Large standard-size","0.35 lbs"
"B00KPWIZFK","Dreamgirl Women's Plus-Size Be Tempting Chemise and G-String","Dreamgirl","Clothing, Shoes & Jewelry","$25,403.40","1,283","$19.80","$7.59","$12.21","N.A.","2","4","1","02/28/2014","Z-Financial LLC","3.7","5.80"" x 6.00"" x 1.70""","Large standard-size","0.25 lbs"
"B08CMN8SPH","Dressystar Pull On Womens Racerback Tank Tops Activewear Sleeveless Yoga Shirts","Dressystar","Clothing, Shoes & Jewelry","$96,213.60","7,470","$12.88","$2.19","$10.69","1,331","11","5","1","07/08/2020","AUPULS","4.3","1.20"" x 3.80"" x 7.10""","Standard (Large)","0.1609 lbs"
"B08D1HMFPK","DRSKIN Men’s Compression Pants Sports Tights Baselayer Running Workout Active Leggings Yoga Dry Thermal Warm Wintergear","DRSKIN","Sports & Outdoors","$54,448.80","3,920","$13.89","$2.36","$11.53","1,487","27","6","1","12/30/2014","DRSKIN SPORTS USA.","4.2","1.00"" x 6.00"" x 6.00""","Standard (Large)","0.5004 lbs"
"B00ZK10CW0","Drymate Original Cat Litter Mat  Contains Mess from Box for Cleaner Floors  Urine-Proof  Soft on Kitty Paws -Absorbent/Waterproof- Machine Washable  Durable (USA Made) (20”x28”)(Fish Kitty)","Drymate","Pet Supplies","$127,444.98","8,502","$14.99","$6.02","$8.97","915","33","6","1","07/14/2021","Drymate","4.4","2.20"" x 8.74"" x 9.13""","Large standard-size","0.4718 lbs"
"B092JK6L87","DUSDIMON Women's Summer Casual Dresses Short Sleeve Loose Tshirt Dress","DUSDIMON","Clothing, Shoes & Jewelry","$11,874.60","540","$21.99","$3.74","$18.25","1,097","6","5","1","04/13/2021","DUSDIMON","3.9","12.88"" x 8.43"" x 0.51""","Standard (Small)","0.37 lbs"
"B088199KTG","DUYIY Rectangular Storage Basket with Handle Organizer Bins for Baby Toys/ Nursery Hamper/Kids Clothes/ /Dorm/Kitchen/Pet/Office/Closet/Shelf/Gift Basket(black triangle)","DUYIY","Baby","$67,991.40","4,860","$13.99","$5.87","$8.12","837","9","6","1","06/07/2020","DAKEKE","4","1.20"" x 10.60"" x 15.40""","Large standard-size","0.5004 lbs"
"B0BX7CN9HC","EAR BAND-IT Ultra Swimming Headband - Best Swimmer's Headband - Keep Water Out  Hold Earplugs in - Doctor Recommended - Secure Ear Plugs - Invented by ENT Physician - Small (See Size Chart)","Ear Band-It","Sports & Outdoors","$40,969.13","3,037","$13.49","$4.94","$8.55","1,381","33","6","1","04/08/2014","Amazon","4.2","0.30"" x 6.00"" x 9.50""","Small standard-size","0.11 lbs"
"B0876VHZCB","EARLIEST Set of 6 Coins from China. 1  2  5 Fen  1  5 Jiao and 1 Yuan Chinese Currency","HOBBY OF KINGS","Toys & Games","$164,382.90","13,710","$11.99","$4.72","$7.27","68","1","5","1","08/13/2020","Amazon","5","0.47"" x 3.31"" x 3.62""","Small standard-size","0.0397 lbs"
